taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
2484623	Vidua fischeri (Reichenow, 1882)	2484623	Vidua fischeri (Reichenow, 1882)	736	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Viduidae	5295	Vidua	2484612	Vidua fischeri	2484623
2484648	Anthreptes rubritorques Reichenow, 1905	2484648	Anthreptes rubritorques Reichenow, 1905	77	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Nectariniidae	5259	Anthreptes	2484629	Anthreptes rubritorques	2484648
2484869	Laniarius atroflavus Shelley, 1887	2484869	Laniarius atroflavus Shelley, 1887	112	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Malaconotidae	5250	Laniarius	2484859	Laniarius atroflavus	2484869
2486541	Smicrornis brevirostris (Gould, 1838)	2486541	Smicrornis brevirostris (Gould, 1838)	56319	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Acanthizidae	3241751	Smicrornis	2486540	Smicrornis brevirostris	2486541
2486631	Clytorhynchus pachycephaloides Elliot, 1870	2486631	Clytorhynchus pachycephaloides Elliot, 1870	209	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Monarchidae	5256	Clytorhynchus	2486628	Clytorhynchus pachycephaloides	2486631
2486945	Conopophila whitei (North, 1910)	2486945	Conopophila whitei (North, 1910)	189	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Meliphagidae	9319	Conopophila	2486943	Conopophila whitei	2486945
2487213	Xanthotis flaviventer (Lesson, 1828)	2487213	Xanthotis flaviventer (Lesson, 1828)	2154	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Meliphagidae	9319	Xanthotis	2487211	Xanthotis flaviventer	2487213
2489319	Petroica bivittata De Vis, 1897	2489319	Petroica bivittata De Vis, 1897	27	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Petroicidae	5265	Petroica	2489313	Petroica bivittata	2489319
2489859	Myioborus ornatus (Boissonneau, 1840)	2489859	Myioborus ornatus (Boissonneau, 1840)	8289	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Myioborus	2489828	Myioborus ornatus	2489859
2490240	Microrhopias quixensis (Cornalia, 1849)	2490240	Microrhopias quixensis (Cornalia, 1849)	23116	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Microrhopias	2490239	Microrhopias quixensis	2490240
2490546	Grallaria eludens Lowery & O'Neill, 1969	2490546	Grallaria eludens Lowery & O'Neill, 1969	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Grallariidae	6101110	Grallaria	2490516	Grallaria eludens	2490546
2490749	Turdus menachensis Ogilvie-Grant, 1913	2490749	Turdus menachensis Ogilvie-Grant, 1913	75	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus menachensis	2490749
2491185	Catamenia analis (d'Orbigny & Lafresnaye, 1837)	2491185	Catamenia analis (d'Orbigny & Lafresnaye, 1837)	10162	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Catamenia	2491184	Catamenia analis	2491185
2492350	Petronia petronia (Linnaeus, 1766)	2492350	Petronia petronia (Linnaeus, 1766)	20942	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passeridae	5264	Petronia	2492345	Petronia petronia	2492350
2492583	Cossypha dichroa (Gmelin, 1789)	2492583	Cossypha dichroa (Gmelin, 1789)	1380	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Cossypha	2492580	Cossypha dichroa	2492583
